#_avanzadas,Jugador,Equipo,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,#_totales,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS
94,BEKA BURJANADZE,LBC,0.587,0.577,144.6,7.7,18.2,12.7,7.8,9.8,0.8,0.6,16.9,-0.5,1.5,117.4,122.8,-5.4,51.6,13.1,53,8,193.8,76,27,52,0.519,6,16,0.375,16,29,0.552,12,26,38,9,3,1,7,24,,,,,,,,,,,,,,,,,,,,
32,BEN LAMMERS,AND,0.601,0.583,128.3,7.8,23.6,16.4,5.7,14.7,2.1,9.6,16.1,-2.8,1.3,114.8,104.4,10.4,73.8,18.9,75,7,175.0,63,28,48,0.583,0,0,0.0,7,10,0.7,10,36,46,6,7,15,9,11,,,,,,,,,,,,,,,,,,,,
5,BOJAN DUBLJEVIC,ZAR,0.811,0.786,203.0,9.2,18.1,13.7,11.0,17.2,0.5,0.6,21.2,-3.6,2.0,140.8,118.8,22.1,95.3,25.2,4,8,197.3,125,41,63,0.651,17,30,0.567,26,32,0.813,14,28,42,13,2,1,16,11,,,,,,,,,,,,,,,,,,,,
123,BRANCOU BADIO,VAL,0.454,0.39,138.3,3.7,9.6,6.4,20.8,11.1,1.5,0.7,18.5,4.8,1.0,114.5,112.4,2.1,33.0,11.0,106,7,143.4,51,16,50,0.32,7,34,0.206,12,14,0.857,5,11,16,21,4,1,7,15,,,,,,,,,,,,,,,,,,,,
50,BRANDON TAYLOR,LBC,0.548,0.493,177.3,1.3,8.9,4.9,52.0,21.1,2.7,0.0,22.9,9.9,1.2,114.0,120.9,-7.0,78.6,17.1,35,8,198.4,86,28,71,0.394,14,32,0.438,16,17,0.941,2,13,15,61,10,0,21,19,,,,,,,,,,,,,,,,,,,,
54,BRUNO FITIPALDO,TEN,0.63,0.546,171.3,1.6,6.1,3.9,35.8,18.5,0.9,0.0,20.8,7.2,1.5,127.4,117.6,9.8,62.4,17.0,43,7,193.6,83,22,54,0.407,15,36,0.417,24,27,0.889,2,8,10,42,3,0,15,16,,,,,,,,,,,,,,,,,,,,
34,CALEB HOMESLEY,GCN,0.55,0.487,149.2,2.4,13.5,7.7,18.5,10.8,1.8,0.7,31.7,-0.7,1.3,110.2,110.6,-0.4,46.8,18.6,18,8,155.7,100,30,75,0.4,13,38,0.342,27,36,0.75,3,16,19,15,5,1,11,17,,,,,,,,,,,,,,,,,,,,
91,CAMERON HUNT,MAN,0.559,0.529,156.6,3.2,7.9,5.6,19.3,17.4,2.5,1.1,21.3,-1.7,1.2,107.6,103.7,3.9,44.5,13.3,36,8,186.4,85,31,69,0.449,11,30,0.367,12,16,0.75,5,13,18,19,9,2,16,23,,,,,,,,,,,,,,,,,,,,
51,CARLOS ALOCEN,GCN,0.532,0.5,148.1,2.7,16.3,9.3,32.2,14.4,2.8,0.8,22.2,5.8,1.2,112.0,107.3,4.7,47.9,17.1,89,8,137.5,57,20,47,0.426,7,18,0.389,10,15,0.667,3,17,20,25,7,1,9,16,,,,,,,,,,,,,,,,,,,,
114,CHARLIE MOORE,BRE,0.517,0.5,148.6,0.9,5.2,2.9,31.6,18.4,1.7,0.0,25.2,-0.1,1.1,96.1,115.0,-18.9,51.5,11.7,9,8,251.4,115,46,105,0.438,13,39,0.333,10,14,0.714,2,10,12,37,8,0,25,18,,,,,,,,,,,,,,,,,,,,
28,CHIMA MONEKE,BASK,0.644,0.583,167.2,5.9,14.2,10.0,19.8,15.6,1.2,0.5,21.7,0.6,1.7,127.1,122.5,4.6,79.8,19.5,11,8,220.4,111,32,66,0.485,13,29,0.448,34,46,0.739,10,24,34,26,5,1,16,17,,,,,,,,,,,,,,,,,,,,
13,CHIMEZIE METU,FCB,0.724,0.731,179.9,4.3,15.2,10.2,2.6,11.5,2.3,2.5,23.8,-4.7,1.6,123.9,110.5,13.4,56.9,23.4,30,8,136.7,89,35,54,0.648,9,16,0.563,10,17,0.588,4,17,21,2,6,3,8,10,,,,,,,,,,,,,,,,,,,,
