#_x,Jugador,Equipo,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,Posición,#_y,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF
21,Tyler Kalinoski,UNI,.622,.560,170.1,2.5,7.3,4.8,13.6,12.5,1.0,0.0,17.1,1.5,1.5,122.5,110.9,11.6,34.0,13.1,Escolta (SG),67,7,152.8,61,20,42,.476,7,20,.350,14,16,.875,3,8,11,14,3,0,7,17
22,Kristian Kullamae,BBB,.463,.452,121.2,0.9,12.9,7.2,24.2,9.5,1.5,0.8,25.5,3.1,1.0,97.8,111.3,-13.5,31.6,12.1,Escolta (SG),63,7,138.4,62,25,63,.397,7,27,.259,5,9,.556,1,15,16,17,4,1,7,14
23,Troy Caupain,MUR,.555,.565,83.5,1.8,11.6,6.2,17.0,17.6,2.7,0.0,21.2,-1.6,1.1,101.3,110.6,-9.3,13.1,11.9,Escolta (SG),144,4,62.0,26,10,23,.435,6,15,.400,0,1,.000,1,5,6,6,3,0,5,8
24,Kenny Hasbrouck,FOR,.584,.575,151.7,1.0,9.4,5.2,12.8,17.7,1.4,1.9,26.3,-6.2,1.2,97.2,108.4,-11.2,22.3,11.7,Escolta (SG),53,6,113.5,65,23,53,.434,15,36,.417,4,6,.667,1,9,10,7,3,2,12,17
25,A.J. Durham,SJG,.519,.437,156.5,0.7,7.6,4.1,22.9,14.5,0.6,0.6,26.5,-1.5,1.2,100.3,117.0,-16.6,25.1,11.1,Escolta (SG),17,7,171.8,86,27,71,.380,8,27,.296,24,27,.889,1,10,11,17,2,1,14,24
26,Jonah Radebaugh,MUR,.418,.352,118.2,5.4,5.6,5.5,15.2,12.0,4.9,0.8,20.6,0.8,1.0,92.7,103.2,-10.5,23.4,10.8,Escolta (SG),105,7,132.2,43,14,44,.318,3,19,.158,12,17,.706,6,5,11,12,12,1,7,16
27,Kevin Punter,FCB,.457,.357,151.0,0.0,9.0,4.9,15.8,11.0,2.3,0.8,22.1,2.2,1.1,99.5,111.4,-12.0,26.5,10.5,Escolta (SG),85,7,136.3,52,14,49,.286,7,25,.280,17,18,.944,0,10,10,15,6,1,7,9
28,Darrun Hilliard,BRE,.513,.468,144.5,1.9,11.5,6.3,16.6,18.7,1.5,0.0,27.6,-5.5,1.1,91.3,114.9,-23.6,29.8,9.9,Escolta (SG),14,7,180.2,89,29,78,.372,15,55,.273,16,20,.800,3,15,18,15,5,0,20,15
29,Gian Clavell,GRA,.480,.421,145.0,2.3,15.5,8.2,11.1,14.1,1.7,0.7,27.7,-5.0,1.1,91.3,110.2,-18.9,22.6,9.4,Escolta (SG),32,7,152.8,76,24,70,.343,11,37,.297,17,21,.810,3,16,19,8,5,1,13,18
30,Scott Bamforth,GRA,.449,.429,136.4,0.9,17.4,8.3,19.8,13.0,1.2,0.0,28.5,-2.2,0.9,87.7,111.6,-23.9,19.5,8.1,Escolta (SG),47,7,136.3,66,25,70,.357,10,39,.256,6,8,.750,1,16,17,12,3,0,11,16
