#_pos,Jugador,Equipo,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,Posición,#_totales,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS
3,Jean Montero,VAL,.545,.511,153.9,7.7,10.7,9.1,32.9,9.2,2.2,0.0,27.6,6.8,1.2,128.6,110.9,17.7,80.4,24.1,Base (PG),12,7,164.0,107,37,89,.416,17,47,.362,16,21,.762,12,14,26,32,7,0,10,7,10,0,0,0,0,0,0,0,25,0,.301,3.2,0.7,0.2,5,2,.714,0.8,0.2,1.0
2,Jerrick Harding,AND,.625,.580,168.2,3.1,8.3,5.9,12.1,10.6,1.7,2.1,32.0,-3.6,1.4,121.4,116.7,4.7,77.9,24.3,Base (PG),1,8,212.5,168,62,119,.521,14,46,.304,30,35,.857,5,15,20,12,7,4,16,22,8,0,0,0,0,0,0,0,30,0,.306,0.8,0.4,0.3,3,5,.375,0.8,0.1,0.9
2,Jilson Bango,ZAR,.692,.704,126.4,13.0,21.1,17.1,10.7,12.2,0.8,4.0,23.8,-2.6,1.7,130.3,115.6,14.7,70.4,26.8,Pívot (C),29,8,138.6,90,38,54,.704,0,0,.000,14,25,.560,14,23,37,8,2,5,9,14,65,1,0,0,0,0,0,0,21,0,.172,0.9,0.2,0.5,4,4,.500,0.6,0.1,0.7
11,Joan Sastre,TEN,.582,.542,166.7,2.9,13.8,8.4,11.0,7.2,2.7,0.0,13.2,2.7,1.3,125.4,112.1,13.3,26.0,13.3,Alero (SF),144,6,105.1,30,12,24,.500,2,12,.167,4,4,1.000,2,10,12,7,5,0,2,8,128,0,0,0,0,0,0,0,11,0,.110,3.5,2.5,0.2,5,1,.833,0.2,0.1,0.3
37,Joaquin Rodriguez,ZAR,.378,.378,54.7,4.5,7.8,6.2,17.4,19.6,2.3,0.0,18.1,0.3,0.8,85.7,118.0,-32.3,10.0,4.3,Base (PG),148,8,114.2,28,12,37,.324,4,18,.222,0,0,.000,4,7,11,14,5,0,9,19,138,0,0,0,0,0,0,0,7,0,.097,1.6,0.6,0.0,4,4,.500,-0.2,0.0,-0.2
17,Joe Thomasson,GCN,.555,.481,151.8,3.7,15.7,9.5,16.5,16.2,1.7,0.0,21.4,-0.8,1.3,108.1,110.7,-2.6,41.4,13.5,Escolta (SG),64,8,168.1,69,23,52,.442,4,16,.250,19,23,.826,5,20,25,16,5,0,12,18,68,0,0,0,0,0,0,0,13,0,.171,1.3,0.4,0.4,5,3,.625,0.2,0.2,0.4
25,John Shurna,GCN,.582,.573,146.0,6.4,9.2,7.8,3.0,6.9,0.3,0.0,16.4,-1.2,1.3,118.1,115.6,2.5,30.8,11.3,Ala-Pívot (PF),74,8,172.1,63,23,48,.479,9,22,.409,8,14,.571,9,12,21,3,1,0,4,18,121,0,0,0,0,0,0,0,16,0,.114,0.8,0.3,0.3,5,3,.625,0.3,0.1,0.4
24,Jonah Radebaugh,MUR,.418,.360,119.3,4.5,7.2,5.7,20.4,10.9,5.2,0.7,19.3,3.7,1.0,96.2,99.8,-3.6,35.6,12.2,Escolta (SG),111,8,155.2,48,16,50,.320,4,24,.167,12,17,.706,6,8,14,19,15,1,7,17,83,0,0,0,0,0,0,0,10,0,.151,2.7,2.1,0.3,5,3,.625,-0.1,0.4,0.3
17,Jonathan Barreiro,UNI,.609,.614,131.8,5.3,18.6,11.7,4.5,24.5,2.2,0.0,15.6,-6.1,1.4,96.3,106.0,-9.7,20.5,9.9,Alero (SF),145,7,98.0,30,12,22,.545,3,11,.273,3,6,.500,4,13,17,3,4,0,8,7,151,0,0,0,0,0,0,0,9,0,.066,0.4,0.5,0.3,6,1,.857,-0.1,0.2,0.1
28,Jonathan Rousselle,GRA,.375,.306,124.9,3.9,12.3,7.7,47.5,11.3,2.7,0.0,18.4,13.4,0.8,102.8,108.6,-5.8,44.1,11.8,Base (PG),124,8,155.8,41,13,49,.265,4,29,.138,11,13,.846,5,13,18,42,8,0,7,26,16,0,0,0,0,0,0,0,9,0,.264,6.0,1.1,0.3,2,6,.250,0.0,0.2,0.3
34,Jordan Davis,BRE,.409,.400,121.1,5.4,16.0,10.4,17.0,15.9,3.9,0.0,24.4,-2.7,0.9,80.7,108.9,-28.3,19.3,9.1,Base (PG),132,7,107.8,39,17,45,.378,2,6,.333,3,6,.500,5,13,18,9,8,0,9,13,91,0,0,0,0,0,0,0,10,0,.144,1.0,0.9,0.1,1,6,.143,-0.4,0.2,-0.2
21,Jordan Sakho,BRE,.531,.472,112.4,12.9,22.2,17.2,3.4,23.3,1.7,6.0,17.5,-7.5,1.4,94.7,107.4,-12.8,42.6,12.0,Pívot (C),110,8,159.6,49,17,36,.472,0,0,.000,15,23,.652,18,27,45,3,5,8,14,22,140,0,0,0,0,0,0,0,12,0,.096,0.2,0.4,0.6,2,6,.250,-0.1,0.3,0.1
9,Josep Puerto,VAL,.643,.631,159.5,6.8,11.1,8.8,5.1,6.2,2.5,0.0,16.2,-0.3,1.4,137.9,110.0,27.9,42.6,18.6,Escolta (SG),86,7,124.0,58,23,42,.548,7,21,.333,5,7,.714,8,11,19,4,6,0,3,9,117,0,0,0,0,0,0,0,14,0,.118,1.3,2.0,0.2,5,2,.714,0.5,0.2,0.6
24,Juan Nunez,FCB,.525,.486,141.3,4.3,24.0,15.0,31.7,26.4,2.7,0.8,18.0,4.2,1.1,105.4,107.6,-2.3,49.6,13.7,Base (PG),127,8,137.5,41,17,36,.472,1,12,.083,6,7,.857,4,27,31,30,7,1,14,20,60,0,0,0,0,0,0,0,11,0,.181,2.1,0.5,0.2,5,3,.625,0.1,0.2,0.3
3,Justin Anderson,FCB,.712,.684,184.9,5.4,13.5,9.8,3.8,8.1,1.3,2.1,17.7,-1.4,1.7,135.0,113.6,21.5,58.5,19.1,Alero (SF),47,8,164.0,81,28,49,.571,11,22,.500,14,18,.778,6,18,24,4,4,3,5,9,110,0,0,0,0,0,0,0,19,0,.124,0.8,0.8,0.4,5,3,.625,0.6,0.1,0.8
8,Kaiser Gates,JOV,.654,.605,188.8,7.3,22.2,15.9,3.1,14.4,1.0,1.8,16.4,-3.7,1.4,119.5,105.7,13.8,51.3,14.6,Alero (SF),79,6,167.3,62,21,43,.488,10,25,.400,10,10,1.000,8,33,41,3,3,3,8,17,97,1,0,0,0,0,0,0,18,0,.138,0.4,0.4,0.2,3,3,.500,0.3,0.3,0.6
12,Kamar Baldwin,BASK,.474,.448,141.4,2.0,11.4,6.4,29.5,11.2,2.7,4.0,28.6,4.6,1.0,103.5,112.5,-9.0,19.3,17.6,Base (PG),146,2,62.2,30,12,29,.414,2,6,.333,4,6,.667,1,5,6,10,3,2,4,5,4,0,0,0,0,0,0,0,16,0,.349,2.5,0.8,0.2,1,1,.500,0.0,0.1,0.1
7,Kameron Taylor,UNI,.587,.574,168.5,2.4,20.6,11.4,15.8,15.4,4.1,2.0,24.0,-1.4,1.2,105.9,100.3,5.5,64.3,18.9,Escolta (SG),37,8,165.0,84,34,68,.500,10,23,.435,6,8,.750,3,25,28,16,13,3,13,13,51,0,0,0,0,0,0,0,19,0,.188,1.2,1.0,0.1,7,1,.875,0.1,0.4,0.5
11,Kassius Robertson,JOV,.626,.589,171.3,3.6,10.4,7.5,19.6,17.4,1.3,0.0,27.5,-3.0,1.4,112.7,112.9,-0.2,65.9,18.1,Base (PG),5,8,208.7,119,41,84,.488,17,40,.425,20,25,.800,5,19,24,21,5,0,20,12,15,0,0,0,0,0,0,0,25,0,.265,1.1,0.3,0.3,4,4,.500,0.4,0.2,0.6
6,Kendrick Perry,UNI,.629,.577,174.9,0.7,6.7,3.7,30.8,15.8,4.0,0.0,22.8,5.4,1.4,121.6,104.9,16.7,71.8,20.6,Base (PG),20,8,182.4,94,32,65,.492,11,28,.393,19,22,.864,1,9,10,36,14,0,14,18,17,0,0,0,0,0,0,0,22,0,.256,2.6,1.0,0.3,7,1,.875,0.6,0.4,1.0
14,Kenny Hasbrouck,FOR,.600,.594,153.8,1.8,9.3,5.5,17.8,16.3,1.6,1.7,27.0,-4.1,1.3,103.4,109.0,-5.7,32.8,14.3,Escolta (SG),48,7,131.4,80,29,64,.453,18,43,.419,4,6,.667,2,10,12,11,4,2,13,21,38,0,0,0,0,0,0,0,17,0,.203,0.8,0.3,0.1,3,4,.429,0.0,0.2,0.2
20,Kevin Punter,FCB,.531,.434,164.6,0.0,7.3,4.0,14.8,11.2,2.2,0.7,22.5,1.4,1.2,109.1,114.1,-5.0,38.3,13.1,Escolta (SG),54,8,167.8,76,21,61,.344,11,32,.344,23,24,.958,0,10,10,17,7,1,9,13,87,0,0,0,0,0,0,0,24,0,.147,1.9,0.8,0.4,5,3,.625,0.2,0.1,0.3
24,Khalifa Diop,BASK,.590,.533,115.8,14.0,16.3,15.1,6.2,29.0,0.5,2.7,12.1,-4.8,1.7,108.2,122.3,-14.0,22.0,8.6,Pívot (C),150,8,120.0,26,8,15,.533,0,0,.000,10,16,.625,13,15,28,5,1,3,9,22,156,0,0,0,0,0,0,0,7,0,.054,0.6,0.1,1.1,3,5,.375,0.1,0.0,0.0
30,Kristian Kullamae,BBB,.437,.425,117.0,0.8,12.1,6.6,23.7,11.3,1.4,0.7,25.2,2.5,0.9,92.5,114.5,-22.0,27.6,9.6,Escolta (SG),78,8,151.0,62,25,67,.373,7,29,.241,5,9,.556,1,15,16,19,4,1,9,16,47,0,0,0,0,0,0,0,18,0,.191,2.1,0.4,0.1,3,5,.375,-0.2,0.1,-0.1
16,Kyle Kuric,AND,.572,.523,165.8,4.6,6.8,5.7,4.8,14.0,2.1,1.3,22.3,-4.8,1.3,109.4,116.8,-7.3,37.1,13.6,Escolta (SG),40,8,174.4,84,28,66,.424,13,37,.351,15,17,.882,6,10,16,5,7,2,12,13,98,0,0,0,0,0,0,0,24,0,.136,0.4,0.6,0.3,3,5,.375,0.2,0.1,0.3
5,L.J. Figueroa,LBC,.556,.522,156.6,8.3,20.0,13.9,12.7,10.2,3.0,1.9,21.9,0.0,1.3,114.1,118.2,-4.0,41.5,17.0,Alero (SF),84,7,123.2,59,22,46,.478,4,10,.400,11,16,.688,8,18,26,9,7,2,6,21,86,0,0,0,0,0,0,0,11,0,.147,1.5,1.2,0.3,2,5,.286,0.2,0.0,0.2
23,Ludde Hakanson,MUR,.494,.430,154.2,0.0,9.7,4.4,25.9,12.2,3.4,1.1,20.2,5.0,1.1,105.2,103.1,2.1,52.5,13.9,Base (PG),59,8,188.8,71,21,64,.328,13,40,.325,16,18,.889,0,13,13,29,12,2,10,13,30,0,0,0,0,0,0,0,23,0,.216,2.9,1.2,0.3,5,3,.625,0.1,0.4,0.5
20,Luka Bozic,FOR,.619,.500,153.7,5.3,13.4,9.2,17.4,22.5,1.6,0.0,22.8,-4.9,1.7,108.7,111.4,-2.7,44.9,14.9,Base (PG),52,8,156.6,77,21,45,.467,3,12,.250,32,39,.821,7,17,24,15,5,0,18,11,72,0,0,0,0,0,0,0,14,0,.163,0.8,0.3,0.9,3,5,.375,0.2,0.2,0.4
7,Marcelinho Huertas,TEN,.593,.519,178.5,3.5,13.7,8.6,52.6,28.6,3.0,0.0,32.7,-0.3,1.4,106.1,110.3,-4.3,53.4,19.8,Base (PG),56,6,133.3,74,25,54,.463,6,16,.375,18,19,.947,3,12,15,37,7,0,25,8,3,1,0,0,0,0,0,0,20,0,.360,1.5,0.3,0.4,5,1,.833,0.2,0.2,0.3
12,Marcis Steinbergs,MAN,.694,.670,176.6,7.1,12.1,9.6,6.3,13.9,1.0,1.4,16.6,-3.0,1.6,128.8,105.0,23.8,45.6,16.3,Ala-Pívot (PF),63,8,150.0,69,25,44,.568,9,21,.429,10,13,.769,9,16,25,5,3,2,8,17,99,0,0,0,0,0,0,0,12,0,.135,0.6,0.4,0.3,4,4,.500,0.5,0.3,0.7
18,Marco Spissu,ZAR,.703,.652,178.6,3.4,10.0,6.7,20.7,26.7,2.2,0.6,17.5,-1.0,1.7,118.4,117.5,0.9,58.3,15.2,Base (PG),51,8,191.0,77,24,46,.522,12,29,.414,17,20,.850,5,15,20,27,8,1,20,18,48,0,0,0,0,0,0,0,17,0,.191,1.4,0.4,0.4,4,4,.500,0.4,0.1,0.5
10,Mario Hezonja,RMB,.680,.646,186.9,0.8,20.3,12.0,8.3,20.0,2.9,0.0,22.5,-6.5,1.5,114.0,98.9,15.1,65.5,18.2,Escolta (SG),19,7,190.4,98,33,65,.508,18,37,.486,14,16,.875,1,35,36,9,10,0,18,12,40,0,0,0,0,0,0,0,21,0,.201,0.5,0.6,0.2,6,1,.857,0.3,0.5,0.9
21,Markus Howard,BASK,.566,.516,157.2,3.1,5.6,4.4,9.1,11.2,1.8,0.0,26.1,-2.8,1.3,114.5,123.8,-9.3,43.0,14.6,Base (PG),8,8,207.6,117,34,91,.374,26,69,.377,23,28,.821,5,9,14,11,7,0,13,24,52,0,0,0,0,0,0,0,38,0,.187,0.8,0.5,0.3,3,5,.375,0.4,-0.1,0.3
13,Marvin Jones,BBB,.584,.526,126.0,11.6,13.3,12.4,2.3,15.6,1.3,5.0,23.8,-7.1,1.4,108.3,112.3,-3.9,50.0,17.4,Pívot (C),45,8,166.5,82,30,57,.526,0,4,.000,22,30,.733,15,18,33,2,4,8,13,15,95,0,0,0,0,0,0,0,15,0,.139,0.2,0.3,0.5,3,5,.375,0.2,0.2,0.3
10,Matt Costello,VAL,.493,.472,130.8,14.4,23.7,18.6,13.8,8.0,1.2,3.9,19.9,2.2,1.1,122.5,106.9,15.6,54.9,18.0,Pívot (C),91,7,131.9,57,21,53,.396,8,29,.276,7,11,.636,18,25,43,12,3,5,5,20,90,0,0,0,0,0,0,0,19,0,.144,2.4,0.6,0.2,5,2,.714,0.4,0.2,0.6
35,Maximo Fjellerup,SJG,.445,.419,126.3,4.9,19.2,12.0,7.6,22.0,2.4,0.7,18.0,-5.8,1.0,79.6,110.8,-31.2,18.4,5.9,Escolta (SG),129,8,156.0,41,17,43,.395,2,13,.154,5,7,.714,6,23,29,6,7,1,13,24,120,0,0,0,0,0,0,0,10,0,.115,0.5,0.5,0.2,2,6,.250,-0.4,0.2,-0.2
10,Melwin Pantzar,BBB,.621,.520,156.1,3.1,11.9,7.6,20.2,10.2,2.1,0.0,18.3,3.9,1.7,129.8,113.6,16.2,70.4,18.5,Base (PG),32,8,205.1,88,24,51,.471,5,16,.313,35,45,.778,5,20,25,24,8,0,8,13,34,0,0,0,0,0,0,0,15,0,.209,3.0,1.0,0.9,3,5,.375,0.7,0.2,0.9
25,Michael Ruzic,JOV,.510,.531,110.4,5.9,13.2,10.1,4.6,9.7,1.4,2.5,13.4,-0.9,1.2,103.2,109.3,-6.2,12.5,8.5,Pívot (C),155,4,74.7,19,7,16,.438,3,9,.333,2,6,.333,3,9,12,2,2,2,2,12,147,0,0,0,0,0,0,0,13,0,.080,1.0,1.0,0.4,1,3,.250,0.0,0.1,0.1
19,Miguel Gonzalez,ZAR,.508,.462,138.5,7.9,16.7,12.3,12.0,16.9,1.2,2.5,6.1,3.8,1.2,129.2,116.7,12.5,33.5,9.4,Alero (SF),156,8,130.3,15,5,13,.385,2,8,.250,3,4,.750,8,17,25,12,3,3,3,12,152,0,0,0,0,0,0,0,5,0,.064,4.0,1.0,0.3,4,4,.500,0.2,0.1,0.2
16,Mike Tobey,GCN,.564,.555,150.9,8.9,18.2,13.4,12.2,9.6,1.0,2.1,18.3,0.8,1.2,117.3,110.2,7.0,50.5,15.6,Pívot (C),71,8,166.2,64,28,55,.509,5,20,.250,3,4,.750,12,23,35,11,3,3,6,22,66,0,0,0,0,0,0,0,17,0,.171,1.8,0.5,0.1,5,3,.625,0.3,0.2,0.5
26,Mindaugas Susinskas,SJG,.633,.571,193.3,3.1,7.6,5.3,10.4,18.3,1.3,0.0,19.5,-4.2,1.5,110.6,116.8,-6.2,19.0,11.2,Ala-Pívot (PF),103,7,120.0,51,15,35,.429,10,17,.588,11,12,.917,3,7,10,6,3,0,9,19,112,0,0,0,0,0,0,0,19,0,.121,0.7,0.3,0.3,2,5,.286,0.1,0.0,0.2
21,Muhammad-Ali Abdur-Rahkman,BBB,.507,.463,148.5,2.1,6.7,4.4,10.5,10.0,2.6,1.1,25.9,-1.8,1.1,100.8,113.4,-12.6,32.8,12.7,Escolta (SG),27,8,183.1,91,32,81,.395,11,38,.289,16,20,.800,3,10,13,10,9,2,10,23,59,0,0,0,0,0,0,0,20,0,.183,1.0,0.9,0.2,3,5,.375,0.0,0.2,0.1
22,Musa Sagnia,MAN,.486,.468,155.2,11.6,20.6,16.2,7.7,22.0,1.6,5.5,13.3,-3.6,1.0,96.9,98.6,-1.7,38.5,11.1,Pívot (C),141,8,132.4,31,14,31,.452,1,10,.100,2,2,1.000,13,24,37,6,4,7,9,15,142,0,0,0,0,0,0,0,8,0,.090,0.7,0.4,0.1,4,4,.500,-0.1,0.4,0.3
29,Nate Sestina,VAL,.526,.526,76.4,3.9,10.3,6.8,4.0,9.3,2.4,0.9,16.5,-1.8,1.1,114.3,109.9,4.4,20.0,10.3,Ala-Pívot (PF),125,7,109.4,41,15,39,.385,11,29,.379,0,0,.000,4,9,13,3,5,1,4,15,148,0,0,0,0,0,0,0,17,0,.079,0.8,1.3,0.0,5,2,.714,0.1,0.1,0.3
7,Nicolas Brussino,GCN,.530,.471,152.3,4.3,16.4,10.1,15.5,11.3,1.9,2.3,21.3,1.0,1.2,110.6,108.6,2.0,59.6,15.3,Alero (SF),41,8,200.5,83,27,69,.391,11,40,.275,18,21,.857,7,25,32,18,7,4,10,17,43,0,0,0,0,0,0,0,22,0,.197,1.8,0.7,0.3,5,3,.625,0.3,0.3,0.6
22,Nicolas Laprovittola,FCB,.561,.540,149.1,3.9,10.4,7.6,39.8,22.4,0.7,0.0,21.0,7.3,1.2,113.2,113.7,-0.5,27.3,14.2,Base (PG),142,4,81.2,31,11,25,.440,5,13,.385,4,6,.667,2,7,9,21,1,0,8,8,19,0,0,0,0,0,0,0,22,0,.254,2.6,0.1,0.2,3,1,.750,0.2,0.0,0.2
23,Nihad Djedovic,UNI,.585,.500,149.0,2.3,14.3,8.3,10.7,13.7,1.8,0.0,14.9,0.8,1.5,115.6,107.9,7.7,30.6,12.4,Escolta (SG),136,7,113.1,37,11,25,.440,3,12,.250,12,15,.800,2,12,14,9,4,0,5,2,144,0,0,0,0,0,0,0,10,0,.085,1.8,0.8,0.6,6,1,.857,0.2,0.2,0.3
11,Nike Sibande,SJG,.635,.604,171.3,5.7,17.3,11.4,8.4,10.7,1.8,0.0,17.2,-1.3,1.4,121.7,113.3,8.4,56.8,16.5,Escolta (SG),55,8,180.5,74,27,53,.509,10,27,.370,10,12,.833,8,24,32,7,6,0,7,10,69,0,0,0,0,0,0,0,21,0,.170,1.0,0.9,0.2,2,6,.250,0.4,0.2,0.6
11,Nikos Chougkaz,AND,.565,.471,164.5,12.5,21.7,17.4,5.6,13.9,1.5,3.3,19.3,-3.4,1.4,116.9,111.5,5.5,58.1,16.5,Ala-Pívot (PF),60,8,169.0,70,21,51,.412,6,17,.353,22,25,.880,16,31,47,6,5,5,10,19,125,1,0,0,0,0,0,0,25,0,.112,0.6,0.5,0.5,3,5,.375,0.3,0.2,0.5
24,Oriol Pauli,FOR,.478,.464,118.0,2.6,13.0,7.7,23.9,18.5,3.4,1.2,18.7,1.1,1.1,95.1,107.1,-12.0,50.4,11.8,Ala-Pívot (PF),83,8,181.1,59,23,56,.411,6,26,.231,7,13,.538,4,19,23,24,12,2,14,8,31,0,0,0,0,0,0,0,16,0,.213,1.7,0.9,0.2,3,5,.375,-0.2,0.3,0.2
37,Payton Willis,TEN,.414,.385,136.5,0.0,4.9,2.4,2.6,3.5,0.9,1.9,22.7,-0.5,0.9,88.1,119.7,-31.6,2.5,5.1,Escolta (SG),154,5,64.5,23,8,26,.308,4,13,.308,3,4,.750,0,2,2,1,1,1,1,6,153,0,0,0,0,0,0,0,10,0,.063,1.0,1.0,0.2,4,1,.800,-0.1,0.0,-0.1
36,Philip Scrubb,LBC,.457,.395,132.2,4.2,13.8,8.8,11.1,25.5,1.8,0.7,15.1,-3.6,1.1,85.2,121.7,-36.5,26.6,5.7,Escolta (SG),130,8,176.9,40,13,38,.342,4,19,.211,10,13,.769,6,18,24,13,6,1,15,9,127,0,0,0,0,0,0,0,14,0,.111,0.9,0.4,0.3,2,6,.250,-0.3,-0.1,-0.4
23,Pierre Oriola,FOR,.501,.438,134.7,16.1,14.1,15.1,5.5,14.3,1.5,0.8,18.9,-3.9,1.2,104.6,110.7,-6.0,32.0,12.1,Ala-Pívot (PF),115,8,131.6,48,17,40,.425,1,5,.200,13,18,.722,18,15,33,4,4,1,8,19,141,1,0,0,0,0,0,0,12,0,.095,0.5,0.5,0.5,3,5,.375,0.0,0.2,0.2
3,Pierre Pelos,GCN,.637,.607,187.5,10.4,20.5,15.3,13.5,14.9,4.3,3.7,16.9,0.0,1.4,124.6,101.0,23.6,66.0,21.0,Ala-Pívot (PF),85,8,153.8,58,21,42,.500,9,18,.500,7,8,.875,13,24,37,12,12,5,8,19,89,0,0,0,0,0,1,0,12,0,.145,1.5,1.5,0.2,5,3,.625,0.4,0.4,0.8
33,Rafael Villar,FOR,.507,.386,135.7,0.7,5.5,3.1,29.5,29.3,4.9,0.7,17.3,0.4,1.3,93.9,106.1,-12.3,32.4,10.1,Base (PG),120,8,157.9,44,13,35,.371,1,11,.091,17,19,.895,1,7,8,28,15,1,18,21,54,0,0,0,0,0,0,0,10,0,.186,1.6,0.8,0.5,3,5,.375,-0.2,0.3,0.1
30,Retin Obasohan,MAN,.464,.408,138.6,5.7,6.8,6.2,16.8,11.7,2.8,0.0,26.4,-1.2,1.1,101.5,103.9,-2.4,28.1,11.4,Base (PG),38,8,166.9,84,27,76,.355,8,22,.364,22,33,.667,8,10,18,15,9,0,12,28,50,0,0,0,0,0,0,0,19,0,.188,1.3,0.8,0.4,4,4,.500,0.0,0.4,0.4
6,Rodions Kurucs,MUR,.597,.577,156.6,6.6,24.9,14.9,15.7,17.1,2.8,0.0,21.3,-2.3,1.3,108.7,102.2,6.5,66.5,17.0,Alero (SF),33,8,192.2,87,33,65,.508,9,23,.391,12,18,.667,11,34,45,16,10,0,15,25,33,2,0,0,0,0,0,0,20,0,.211,1.1,0.7,0.3,5,3,.625,0.2,0.4,0.7
31,Ruben Guerrero,GRA,.669,.714,111.4,7.9,16.4,11.7,7.1,21.6,1.4,0.7,9.9,-2.0,1.6,114.3,110.5,3.8,31.3,9.8,Ala-Pívot (PF),137,8,152.6,34,15,21,.714,0,0,.000,4,10,.400,10,17,27,6,4,1,7,20,135,0,0,0,0,0,0,0,8,0,.101,0.9,0.6,0.5,2,6,.250,0.1,0.2,0.3
14,Santiago Yusta,ZAR,.484,.480,114.5,4.6,13.6,9.1,11.8,17.9,4.5,0.6,22.9,-4.0,1.1,93.3,111.0,-17.7,44.1,11.9,Alero (SF),49,8,196.6,80,32,76,.421,9,35,.257,7,15,.467,7,21,28,15,17,1,18,22,62,0,0,0,0,0,1,0,16,0,.176,0.8,0.9,0.2,4,4,.500,-0.3,0.2,0.0
33,Scott Bamforth,GRA,.462,.436,138.8,0.7,15.4,7.3,20.5,15.3,1.0,0.0,28.1,-2.6,1.0,87.8,112.0,-24.3,22.3,7.8,Escolta (SG),50,8,163.2,77,28,78,.359,12,43,.279,9,12,.750,1,17,18,16,3,0,15,19,32,0,0,0,0,0,0,0,17,0,.212,1.1,0.2,0.2,2,6,.250,-0.4,0.2,-0.3
1,Semi Ojeleye,VAL,.645,.571,174.9,10.0,8.9,9.5,4.0,4.2,1.2,1.2,23.7,-0.8,1.5,146.2,113.1,33.1,74.9,25.6,Alero (SF),7,7,169.3,118,37,77,.481,14,39,.359,30,33,.909,16,12,28,4,4,2,4,8,61,0,0,0,0,0,0,0,24,0,.179,1.0,1.0,0.4,5,2,.714,1.1,0.2,1.3
9,Sergi Garcia,GRA,.638,.571,178.6,4.6,3.8,4.2,35.1,23.6,5.1,0.0,18.6,2.3,1.5,115.3,105.7,9.6,57.9,18.5,Base (PG),80,7,156.8,62,19,42,.452,10,25,.400,14,15,.933,6,4,10,28,15,0,15,8,14,0,0,0,0,0,0,0,22,0,.267,1.9,1.0,0.4,1,6,.143,0.3,0.3,0.6
24,Sergi Martinez,SJG,.254,.143,114.3,11.2,21.4,16.4,0.0,11.3,0.0,0.0,9.2,-2.2,0.6,74.6,109.4,-34.8,5.5,2.7,Alero (SF),157,2,44.0,4,1,7,.143,0,2,.000,2,2,1.000,4,8,12,0,0,0,1,3,157,0,0,0,0,0,0,0,4,0,.019,0.0,0.0,0.3,1,1,.500,-0.1,0.0,0.0
17,Sergio Llull,RMB,.535,.500,150.3,2.3,9.2,6.3,22.2,12.9,1.6,0.0,25.1,1.8,1.2,112.8,108.8,4.0,36.6,15.3,Base (PG),69,7,132.2,65,22,55,.400,11,33,.333,10,13,.769,2,11,13,17,4,0,9,9,53,0,0,0,0,0,0,0,16,0,.187,1.9,0.4,0.2,5,2,.714,0.2,0.2,0.4
8,Simon Birgander,MUR,.712,.679,159.6,9.5,28.2,18.0,7.0,9.3,0.8,3.8,15.4,-0.7,1.6,137.9,103.4,34.5,85.0,21.1,Pívot (C),44,8,194.4,83,36,53,.679,0,0,.000,11,12,.917,16,39,55,7,3,7,6,20,55,2,0,0,0,0,0,0,18,0,.185,1.2,0.5,0.2,5,3,.625,0.8,0.4,1.2
23,Stan Okoye,AND,.547,.539,135.4,2.0,8.1,5.2,2.4,18.3,1.2,0.0,16.9,-5.6,1.2,95.7,118.8,-23.1,8.9,5.7,Alero (SF),121,8,132.4,44,16,38,.421,9,27,.333,3,5,.600,2,9,11,2,3,0,9,19,149,0,0,0,0,0,0,0,10,0,.074,0.2,0.3,0.1,3,5,.375,-0.1,0.0,-0.1
16,This De Ridder,BBB,.578,.556,178.0,7.4,25.4,16.6,6.3,10.6,1.9,0.6,18.1,-1.8,1.3,114.0,108.6,5.4,54.4,15.2,Ala-Pívot (PF),66,8,172.8,68,26,54,.481,8,14,.571,8,11,.727,10,36,46,6,6,1,7,24,96,0,0,0,0,0,0,0,15,0,.139,0.9,0.9,0.2,3,5,.375,0.3,0.3,0.5
4,Thomas Bropleh,FOR,.603,.562,178.4,1.9,14.2,7.9,12.9,13.3,2.5,0.6,27.3,-4.0,1.3,109.4,108.8,0.6,60.0,18.1,Alero (SF),6,8,184.1,118,40,89,.449,20,46,.435,18,20,.900,3,21,24,11,9,1,15,17,26,0,0,0,0,0,0,0,18,0,.231,0.7,0.6,0.2,3,5,.375,0.2,0.3,0.5
12,Thomas Scrubb,TEN,.538,.524,142.9,11.3,12.7,12.0,5.5,4.3,2.0,0.0,13.2,1.2,1.1,126.3,113.7,12.6,44.5,12.9,Alero (SF),113,7,176.0,48,18,42,.429,8,24,.333,4,6,.667,13,15,28,6,6,0,2,8,114,0,0,0,0,0,0,0,14,0,.119,3.0,3.0,0.1,6,1,.857,0.4,0.1,0.5
6,Tim Abromaitis,TEN,.751,.750,170.9,4.5,26.5,15.7,2.6,2.8,2.5,0.0,13.2,0.3,1.9,152.5,108.8,43.7,46.4,18.9,Ala-Pívot (PF),101,7,134.6,52,19,28,.679,4,11,.364,10,15,.667,4,24,28,2,6,0,1,16,130,0,0,0,0,0,0,0,13,0,.104,2.0,6.0,0.5,6,1,.857,0.6,0.2,0.8
