#_pos,Jugador,Equipo,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,Posición,#_totales,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS
15,Artem Pustovyi,JOV,.627,.500,138.9,12.0,9.1,10.3,9.9,22.6,1.2,6.2,22.3,-6.6,1.7,111.9,111.1,0.9,36.1,15.8,Pívot (C),81,8,139.3,60,18,36,.500,0,1,.000,24,27,.889,11,11,22,8,3,9,14,24,126,0,0,0,0,0,0,0,15,0,.111,0.6,0.2,0.8,4,4,.500,0.2,0.2,0.4
19,Augusto Lima,LBC,.545,.500,126.9,11.9,24.2,17.8,18.0,22.7,1.7,1.5,17.9,-1.7,1.2,104.9,119.1,-14.2,52.1,13.5,Pívot (C),99,8,157.1,52,21,42,.500,0,0,.000,10,13,.769,15,28,43,17,5,2,14,19,73,0,0,0,0,0,0,0,12,0,.162,1.2,0.4,0.3,2,6,.250,0.1,0.0,0.1
20,Beka Burjanadze,LBC,.587,.577,144.6,7.7,18.2,12.7,7.8,9.8,0.8,0.6,16.9,-0.5,1.5,117.4,122.8,-5.4,51.6,13.1,Ala-Pívot (PF),53,8,193.8,76,27,52,.519,6,16,.375,16,29,.552,12,26,38,9,3,1,7,24,82,0,0,0,0,0,0,0,14,0,.153,1.3,0.4,0.6,2,6,.250,0.4,-0.1,0.3
9,Ben Lammers,AND,.601,.583,128.3,7.8,23.6,16.4,5.7,14.7,2.1,9.6,16.1,-2.8,1.3,114.8,104.4,10.4,73.8,18.9,Pívot (C),75,7,175.0,63,28,48,.583,0,0,.000,7,10,.700,10,36,46,6,7,15,9,11,75,0,0,0,0,0,0,1,15,0,.160,0.7,0.8,0.2,3,4,.429,0.3,0.4,0.6
3,Bojan Dubljevic,ZAR,.811,.786,203.0,9.2,18.1,13.7,11.0,17.2,0.5,0.6,21.2,-3.6,2.0,140.8,118.8,22.1,95.3,25.3,Pívot (C),4,8,197.3,125,41,63,.651,17,30,.567,26,32,.813,14,28,42,13,2,1,16,11,39,0,0,0,0,0,0,0,22,0,.202,0.8,0.1,0.5,4,4,.500,1.1,0.0,1.1
31,Brancou Badio,VAL,.454,.390,138.3,3.7,9.6,6.4,20.8,11.1,1.5,0.7,18.5,4.8,1.0,114.5,112.4,2.1,33.0,11.0,Base (PG),106,7,143.4,51,16,50,.320,7,34,.206,12,14,.857,5,11,16,21,4,1,7,15,74,0,0,0,0,0,0,0,10,0,.162,3.0,0.6,0.3,5,2,.714,0.2,0.1,0.4
13,Brandon Taylor,LBC,.548,.493,177.3,1.3,8.9,4.9,52.0,21.1,2.7,0.0,22.9,9.9,1.2,114.0,120.9,-7.0,78.6,17.1,Base (PG),35,8,198.4,86,28,71,.394,14,32,.438,16,17,.941,2,13,15,61,10,0,21,19,2,0,0,0,0,0,1,0,20,0,.379,2.9,0.5,0.2,2,6,.250,0.5,-0.1,0.4
15,Bruno Fitipaldo,TEN,.630,.546,171.3,1.6,6.1,3.9,35.8,18.5,0.9,0.0,20.8,7.2,1.5,127.4,117.6,9.8,62.4,17.0,Base (PG),43,7,193.6,83,22,54,.407,15,36,.417,24,27,.889,2,8,10,42,3,0,15,16,5,0,0,0,0,0,0,0,21,0,.318,2.8,0.2,0.5,6,1,.857,0.8,0.0,0.8
8,Caleb Homesley,GCN,.550,.487,149.2,2.4,13.5,7.7,18.5,10.8,1.8,0.7,31.7,-0.7,1.3,110.2,110.6,-0.4,46.8,18.7,Escolta (SG),18,8,155.7,100,30,75,.400,13,38,.342,27,36,.750,3,16,19,15,5,1,11,17,45,0,0,0,0,0,0,0,18,0,.197,1.4,0.5,0.5,5,3,.625,0.3,0.2,0.5
18,Cameron Hunt,MAN,.559,.529,156.6,3.2,7.9,5.6,19.3,17.4,2.5,1.1,21.3,-1.7,1.2,107.6,103.7,3.9,44.5,13.3,Escolta (SG),36,8,186.4,85,31,69,.449,11,30,.367,12,16,.750,5,13,18,19,9,2,16,23,28,0,0,0,0,0,0,0,24,0,.224,1.2,0.6,0.2,4,4,.500,0.2,0.4,0.6
14,Carlos Alocen,GCN,.532,.500,148.1,2.7,16.3,9.3,32.2,14.4,2.8,0.8,22.2,5.8,1.2,112.0,107.3,4.7,47.9,17.1,Base (PG),89,8,137.5,57,20,47,.426,7,18,.389,10,15,.667,3,17,20,25,7,1,9,16,44,0,0,0,0,0,0,0,13,0,.197,2.8,0.8,0.3,5,3,.625,0.2,0.2,0.5
29,Charlie Moore,BRE,.517,.500,148.6,0.9,5.2,2.9,31.6,18.4,1.7,0.0,25.2,-0.1,1.1,96.1,115.0,-18.9,51.5,11.7,Base (PG),9,8,251.4,115,46,105,.438,13,39,.333,10,14,.714,2,10,12,37,8,0,25,18,1,0,0,0,0,0,0,0,22,0,.399,1.5,0.3,0.1,2,6,.250,-0.2,0.1,-0.1
6,Chima Moneke,BASK,.644,.583,167.2,5.9,14.2,10.0,19.8,15.6,1.2,0.5,21.7,0.6,1.7,127.1,122.5,4.6,79.8,19.4,Escolta (SG),11,8,220.4,111,32,66,.485,13,29,.448,34,46,.739,10,24,34,26,5,1,16,17,23,0,0,0,0,0,0,0,20,0,.241,1.6,0.3,0.7,3,5,.375,0.9,-0.1,0.8
1,Chimezie Metu,FCB,.724,.731,179.9,4.3,15.2,10.2,2.6,11.5,2.3,2.5,23.8,-4.7,1.6,123.9,110.5,13.4,56.9,23.4,Ala-Pívot (PF),30,8,136.7,89,35,54,.648,9,16,.563,10,17,.588,4,17,21,2,6,3,8,10,92,0,0,0,0,0,0,0,18,0,.143,0.3,0.8,0.3,5,3,.625,0.4,0.2,0.6
32,Chumi Ortega,AND,.413,.300,122.4,11.5,11.2,11.3,10.1,20.9,3.2,0.0,13.7,-1.5,1.0,95.9,112.8,-16.9,22.3,8.1,Escolta (SG),153,8,127.0,25,7,25,.280,1,9,.111,10,12,.833,11,12,23,9,8,0,8,17,150,0,0,0,0,0,0,0,10,0,.066,1.1,1.0,0.5,3,5,.375,-0.1,0.1,0.0
31,Corey Walden,FOR,.434,.338,121.8,4.6,8.8,6.6,14.8,10.0,2.6,0.7,14.4,2.7,1.1,102.3,110.0,-7.7,26.8,8.6,Escolta (SG),133,8,155.2,39,11,37,.297,3,21,.143,14,18,.778,6,11,17,14,8,1,5,20,123,0,0,0,0,0,0,0,12,0,.113,2.8,1.6,0.5,3,5,.375,0.0,0.2,0.2
36,Dani Perez,MAN,.326,.302,108.9,3.0,9.3,6.2,42.8,20.4,1.0,0.0,17.3,9.1,0.7,91.2,106.8,-15.6,28.5,5.5,Base (PG),140,8,158.0,33,12,48,.250,5,29,.172,4,6,.667,4,13,17,42,3,0,13,24,22,0,0,0,0,0,0,0,11,0,.242,3.2,0.2,0.1,4,4,.500,-0.2,0.3,0.1
15,Dario Brizuela,FCB,.586,.558,178.8,1.2,9.9,5.9,20.3,18.1,3.0,0.0,20.8,0.5,1.2,108.3,114.8,-6.5,31.9,13.7,Escolta (SG),97,7,124.0,53,21,43,.488,6,20,.300,5,5,1.000,1,10,11,16,7,0,10,17,71,0,0,0,0,0,0,0,13,0,.164,1.6,0.7,0.1,4,3,.571,0.1,0.1,0.2
28,Darrun Hilliard,BRE,.513,.454,148.1,1.6,11.9,6.4,16.1,17.6,1.3,0.0,26.4,-4.6,1.2,93.3,114.3,-21.0,34.8,9.9,Escolta (SG),17,8,210.5,101,31,87,.356,17,61,.279,22,26,.846,3,19,22,17,5,0,21,19,27,0,0,0,0,0,0,0,18,0,.231,0.8,0.2,0.3,2,6,.250,-0.3,0.1,-0.2
5,David Kramer,TEN,.643,.565,168.6,3.7,13.2,8.5,11.4,8.3,1.8,0.0,24.3,0.3,1.5,131.4,113.5,17.8,38.9,19.9,Escolta (SG),58,7,124.2,71,19,46,.413,14,38,.368,19,21,.905,3,11,14,8,4,0,5,16,100,0,0,0,0,0,0,0,20,0,.134,1.6,0.8,0.5,6,1,.857,0.6,0.1,0.7
13,David Kravish,UNI,.528,.514,197.8,8.9,16.7,12.6,17.1,5.0,0.6,1.2,21.3,4.5,1.1,116.7,116.0,0.8,29.0,16.2,Ala-Pívot (PF),131,5,87.4,40,16,37,.432,6,11,.545,2,2,1.000,6,10,16,9,1,1,2,10,80,0,0,0,0,0,0,0,9,0,.154,4.5,0.5,0.1,4,1,.800,0.2,0.0,0.2
38,Dee Bost,FOR,.390,.357,134.9,0.0,10.4,5.0,24.1,24.4,1.8,0.0,25.5,-5.3,0.8,73.0,114.0,-41.0,2.1,1.1,Base (PG),147,4,84.8,29,9,35,.257,7,24,.292,4,5,.800,0,7,7,11,3,0,12,12,49,0,0,0,0,0,0,0,11,0,.189,0.9,0.3,0.1,1,3,.250,-0.4,0.0,-0.4
17,"Derek Cooke, Jr.",FOR,.624,.643,109.7,13.2,23.7,18.3,5.8,15.4,2.7,1.4,11.4,-1.7,1.5,121.0,104.9,16.1,54.6,15.2,Ala-Pívot (PF),126,8,152.2,41,18,28,.643,0,0,.000,5,11,.455,17,29,46,5,8,2,6,18,131,0,0,0,0,0,0,0,7,0,.104,0.8,1.3,0.4,3,5,.375,0.2,0.3,0.6
