#,Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER
53,Nikos Chougkaz,AND,.579,.500,170.5,10.9,20.8,16.3,5.4,14.2,1.7,3.8,19.5,-3.7,1.4,116.6,108.6,8.0,52.1,17.1
54,Marvin Jones,BBB,.589,.528,127.8,11.2,13.4,12.3,2.6,16.6,1.1,4.9,24.7,-7.7,1.5,107.1,110.4,-3.3,44.5,17.0
55,Nike Sibande,SJG,.617,.582,168.3,6.1,17.8,11.8,8.4,10.0,2.0,0.0,17.5,-1.2,1.4,120.3,111.6,8.6,52.8,16.9
56,Jabari Parker,FCB,.679,.676,171.0,0.9,16.1,9.3,7.0,12.8,2.3,2.1,18.5,-2.1,1.5,118.6,108.5,10.1,52.0,16.9
57,Bruno Fitipaldo,TEN,.611,.521,170.9,1.8,7.1,4.5,33.8,15.9,0.7,0.0,20.6,7.8,1.5,128.8,117.2,11.6,52.9,16.8
58,Thomas Bropleh,FOR,.610,.568,178.5,2.2,14.1,8.0,12.9,15.5,2.2,0.7,26.1,-4.8,1.4,107.7,109.0,-1.3,50.5,16.7
59,Rodions Kurucs,MUR,.568,.542,147.4,7.4,26.9,16.1,13.8,15.2,2.8,0.0,21.0,-1.9,1.3,108.4,104.9,3.5,59.0,16.7
60,Devon Dotson,JOV,.541,.484,137.2,1.6,8.6,5.6,32.3,17.4,3.3,0.5,24.7,2.6,1.3,108.2,109.0,-0.8,55.9,16.7
61,Eli John N'Diaye,RMB,.750,.725,215.6,9.8,18.0,14.5,0.0,15.8,3.6,2.0,11.6,-3.9,1.6,134.8,99.8,35.0,34.6,16.6
62,L.J. Figueroa,LBC,.530,.500,148.1,7.1,22.0,14.2,14.2,7.8,2.5,2.2,21.8,1.9,1.2,114.0,120.3,-6.3,36.3,16.6
63,Josep Puerto,VAL,.571,.571,128.6,6.4,14.6,10.0,8.6,9.2,2.7,0.0,17.4,-0.4,1.2,122.8,106.6,16.2,24.3,16.3
64,Sergio Llull,RMB,.566,.533,154.2,2.6,9.5,6.5,23.9,14.9,1.9,0.0,24.8,1.5,1.3,115.1,108.3,6.8,35.0,16.2
65,This De Ridder,BBB,.591,.569,178.9,8.2,26.2,17.6,7.1,11.1,1.7,0.7,18.8,-1.9,1.3,115.2,105.7,9.6,54.4,16.2
66,Markus Howard,BASK,.551,.494,154.4,3.7,6.9,5.3,8.2,9.5,1.9,0.0,28.7,-2.8,1.3,114.1,123.7,-9.6,37.5,16.1
67,Guillem Ferrando,SJG,.520,.450,158.8,2.4,7.9,5.0,45.9,17.8,2.7,0.0,26.4,3.3,1.2,104.0,112.6,-8.6,30.3,15.9
68,Toni Nakic,BRE,.642,.607,172.6,7.4,10.9,8.9,8.7,7.5,1.4,0.0,15.7,0.4,1.5,129.9,118.0,11.8,45.5,15.9
69,Aaron Doornekamp,TEN,.691,.630,183.0,4.8,25.9,15.4,7.4,11.2,1.8,0.9,14.1,0.0,1.6,136.2,109.9,26.3,40.1,15.8
70,Dario Brizuela,FCB,.643,.615,187.2,1.3,10.6,6.3,21.2,19.5,2.7,0.0,20.8,0.0,1.4,113.9,113.6,0.2,33.9,15.7
71,Luka Bozic,FOR,.640,.523,158.2,4.8,13.8,9.3,17.6,23.0,1.7,0.0,23.2,-5.5,1.8,109.9,110.4,-0.6,44.4,15.7
72,Thomas Scrubb,TEN,.606,.595,161.7,11.8,13.6,12.7,6.4,4.9,2.2,0.0,13.2,1.4,1.3,136.2,112.5,23.7,46.3,15.6
73,Cameron Hunt,MAN,.574,.545,159.2,3.4,7.8,5.7,22.7,16.8,2.7,1.2,22.5,-1.3,1.3,110.7,99.8,10.9,47.3,15.5
74,Joe Thomasson,GCN,.582,.511,160.4,3.4,16.7,9.9,16.2,15.2,1.5,0.0,22.0,-1.0,1.4,112.2,109.9,2.3,39.5,15.4
75,"Derek Cooke, Jr.",FOR,.600,.615,107.0,13.4,23.9,18.6,6.3,11.5,2.5,1.5,10.9,-0.4,1.4,124.4,104.4,20.0,51.9,15.1
76,Ludde Hakanson,MUR,.540,.473,160.5,0.0,8.1,3.6,26.2,13.7,3.3,0.0,20.7,4.1,1.2,110.5,107.0,3.5,45.8,15.0
77,Shannon Evans,AND,.535,.440,167.3,0.0,12.2,6.8,30.5,21.6,3.2,0.0,25.7,1.0,1.2,107.4,114.0,-6.6,19.6,14.9
78,Dylan Osetkowski,UNI,.435,.388,136.3,11.5,28.3,19.6,6.3,7.3,3.4,0.9,25.7,-1.3,0.9,98.1,100.4,-2.3,38.3,14.6
79,Carlos Alocen,GCN,.481,.450,132.3,3.1,17.1,10.0,32.5,14.9,2.4,0.9,21.9,5.8,1.1,105.2,107.4,-2.2,37.1,14.6
80,Kaiser Gates,JOV,.654,.605,188.8,7.3,22.2,15.9,3.1,14.4,1.0,1.8,16.4,-3.7,1.4,119.5,105.7,13.8,51.3,14.6
81,Elias Valtonen,GRA,.608,.605,158.8,5.1,12.6,8.5,7.4,4.2,1.9,0.8,15.5,0.9,1.3,124.4,109.3,15.2,36.9,14.5
82,Kyle Kuric,AND,.599,.554,171.3,5.5,6.2,5.8,4.5,16.1,2.1,1.5,23.0,-6.1,1.3,110.0,115.3,-5.2,32.9,14.5
83,Tomas Satoransky,FCB,.573,.500,152.8,2.3,19.0,11.4,32.1,23.0,0.8,0.0,19.0,5.1,1.4,113.3,112.0,1.3,44.3,14.3
84,A.J. Slaughter,ZAR,.547,.547,83.8,5.2,1.0,3.0,14.1,12.3,1.6,0.0,25.3,-1.3,1.1,110.0,118.7,-8.8,30.3,14.2
85,Nicolas Laprovittola,FCB,.561,.540,149.1,3.9,10.4,7.6,39.8,22.4,0.7,0.0,21.0,7.3,1.2,113.2,113.7,-0.5,27.3,14.2
86,Augusto Lima,LBC,.548,.500,138.9,11.5,22.5,16.7,19.8,20.8,1.5,1.7,17.3,0.2,1.2,109.5,120.8,-11.3,47.9,14.1
87,Muhammad-Ali Abdur-Rahkman,BBB,.519,.479,148.6,1.6,6.6,4.2,12.1,8.1,2.6,1.3,25.5,-0.2,1.2,105.1,111.0,-5.9,33.5,14.1
88,Edo Muric,FOR,.593,.586,146.5,6.2,10.3,8.2,5.1,10.2,2.3,0.0,19.8,-2.7,1.3,111.6,110.1,1.5,39.3,14.0
89,Marcis Steinbergs,MAN,.673,.641,175.7,3.5,11.5,7.6,7.2,13.8,0.4,1.5,16.3,-2.6,1.5,125.3,103.2,22.1,33.6,13.9
90,Timothe Luwawu-Cabarrot,BASK,.536,.500,163.9,2.9,15.0,8.8,13.7,14.2,2.2,1.2,22.4,-1.5,1.2,107.4,120.1,-12.8,41.4,13.7
